CURRENT DISTRIBUTION ALONG ONE HALF OF THE DIPOLE
POSITION Z:   MAGNITUDE:       REAL PART:       IMAGINARY PART:      SECTION #:

0.4255       0.000044            0.000005        -0.000044          1.0 

0.4245       0.000058            0.000007        -0.000058          2.0 

0.4235       0.000075            0.000009        -0.000075          3.0 

0.4225       0.000091            0.000010        -0.000090          4.0 

0.4215       0.000106            0.000012        -0.000105          5.0 

0.4205       0.000121            0.000014        -0.000120          6.0 

0.4195       0.000135            0.000016        -0.000134          7.0 

0.4185       0.000149            0.000017        -0.000148          8.0 

0.4175       0.000162            0.000019        -0.000161          9.0 

0.4165       0.000176            0.000021        -0.000175          10.0 

0.4155       0.000189            0.000022        -0.000188          11.0 

0.4145       0.000202            0.000024        -0.000201          12.0 

0.4135       0.000215            0.000025        -0.000214          13.0 

0.4125       0.000228            0.000027        -0.000226          14.0 

0.4115       0.000240            0.000029        -0.000239          15.0 

0.4105       0.000253            0.000030        -0.000251          16.0 

0.4095       0.000265            0.000032        -0.000264          17.0 

0.4085       0.000278            0.000033        -0.000276          18.0 

0.4075       0.000290            0.000035        -0.000288          19.0 

0.4065       0.000302            0.000037        -0.000300          20.0 

0.4055       0.000314            0.000038        -0.000312          21.0 

0.4045       0.000326            0.000040        -0.000324          22.0 

0.4035       0.000338            0.000041        -0.000336          23.0 

0.4025       0.000350            0.000043        -0.000347          24.0 

0.4015       0.000362            0.000044        -0.000359          25.0 

0.4005       0.000373            0.000046        -0.000371          26.0 

0.3995       0.000385            0.000048        -0.000382          27.0 

0.3985       0.000397            0.000049        -0.000393          28.0 

0.3975       0.000408            0.000051        -0.000405          29.0 

0.3965       0.000420            0.000052        -0.000416          30.0 

0.3955       0.000431            0.000054        -0.000428          31.0 

0.3945       0.000442            0.000055        -0.000439          32.0 

0.3935       0.000453            0.000057        -0.000450          33.0 

0.3925       0.000465            0.000059        -0.000461          34.0 

0.3915       0.000476            0.000060        -0.000472          35.0 

0.3905       0.000487            0.000062        -0.000483          36.0 

0.3895       0.000498            0.000063        -0.000494          37.0 

0.3885       0.000509            0.000065        -0.000505          38.0 

0.3875       0.000520            0.000067        -0.000516          39.0 

0.3865       0.000531            0.000068        -0.000527          40.0 

0.3855       0.000542            0.000070        -0.000537          41.0 

0.3845       0.000553            0.000071        -0.000548          42.0 

0.3835       0.000563            0.000073        -0.000559          43.0 

0.3824       0.000574            0.000075        -0.000569          44.0 

0.3814       0.000585            0.000076        -0.000580          45.0 

0.3804       0.000595            0.000078        -0.000590          46.0 

0.3794       0.000606            0.000079        -0.000601          47.0 

0.3784       0.000617            0.000081        -0.000611          48.0 

0.3774       0.000627            0.000083        -0.000622          49.0 

0.3764       0.000638            0.000084        -0.000632          50.0 

0.3754       0.000648            0.000086        -0.000642          51.0 

0.3744       0.000658            0.000088        -0.000652          52.0 

0.3734       0.000669            0.000089        -0.000663          53.0 

0.3724       0.000679            0.000091        -0.000673          54.0 

0.3714       0.000689            0.000092        -0.000683          55.0 

0.3704       0.000699            0.000094        -0.000693          56.0 

0.3694       0.000709            0.000096        -0.000703          57.0 

0.3684       0.000720            0.000097        -0.000713          58.0 

0.3674       0.000730            0.000099        -0.000723          59.0 

0.3664       0.000740            0.000101        -0.000733          60.0 

0.3654       0.000750            0.000102        -0.000743          61.0 

0.3644       0.000759            0.000104        -0.000752          62.0 

0.3634       0.000769            0.000106        -0.000762          63.0 

0.3624       0.000779            0.000107        -0.000772          64.0 

0.3614       0.000789            0.000109        -0.000781          65.0 

0.3604       0.000799            0.000111        -0.000791          66.0 

0.3594       0.000808            0.000112        -0.000801          67.0 

0.3584       0.000818            0.000114        -0.000810          68.0 

0.3574       0.000828            0.000116        -0.000820          69.0 

0.3564       0.000837            0.000117        -0.000829          70.0 

0.3554       0.000847            0.000119        -0.000838          71.0 

0.3544       0.000856            0.000121        -0.000848          72.0 

0.3534       0.000866            0.000122        -0.000857          73.0 

0.3524       0.000875            0.000124        -0.000866          74.0 

0.3514       0.000884            0.000126        -0.000875          75.0 

0.3504       0.000894            0.000127        -0.000885          76.0 

0.3494       0.000903            0.000129        -0.000894          77.0 

0.3484       0.000912            0.000131        -0.000903          78.0 

0.3474       0.000921            0.000133        -0.000912          79.0 

0.3464       0.000930            0.000134        -0.000921          80.0 

0.3454       0.000940            0.000136        -0.000930          81.0 

0.3444       0.000949            0.000138        -0.000938          82.0 

0.3434       0.000958            0.000139        -0.000947          83.0 

0.3424       0.000966            0.000141        -0.000956          84.0 

0.3414       0.000975            0.000143        -0.000965          85.0 

0.3404       0.000984            0.000144        -0.000973          86.0 

0.3394       0.000993            0.000146        -0.000982          87.0 

0.3384       0.001002            0.000148        -0.000991          88.0 

0.3374       0.001010            0.000150        -0.000999          89.0 

0.3364       0.001019            0.000151        -0.001008          90.0 

0.3354       0.001028            0.000153        -0.001016          91.0 

0.3344       0.001036            0.000155        -0.001025          92.0 

0.3334       0.001045            0.000157        -0.001033          93.0 

0.3324       0.001053            0.000158        -0.001041          94.0 

0.3314       0.001062            0.000160        -0.001049          95.0 

0.3304       0.001070            0.000162        -0.001058          96.0 

0.3294       0.001078            0.000163        -0.001066          97.0 

0.3284       0.001086            0.000165        -0.001074          98.0 

0.3274       0.001095            0.000167        -0.001082          99.0 

0.3264       0.001103            0.000169        -0.001090          100.0 

0.3254       0.001111            0.000170        -0.001098          101.0 

0.3244       0.001119            0.000172        -0.001106          102.0 

0.3234       0.001127            0.000174        -0.001114          103.0 

0.3224       0.001135            0.000176        -0.001121          104.0 

0.3214       0.001143            0.000177        -0.001129          105.0 

0.3204       0.001151            0.000179        -0.001137          106.0 

0.3194       0.001159            0.000181        -0.001144          107.0 

0.3184       0.001166            0.000183        -0.001152          108.0 

0.3174       0.001174            0.000184        -0.001160          109.0 

0.3164       0.001182            0.000186        -0.001167          110.0 

0.3154       0.001189            0.000188        -0.001174          111.0 

0.3144       0.001197            0.000190        -0.001182          112.0 

0.3134       0.001204            0.000191        -0.001189          113.0 

0.3124       0.001212            0.000193        -0.001196          114.0 

0.3114       0.001219            0.000195        -0.001204          115.0 

0.3104       0.001227            0.000197        -0.001211          116.0 

0.3094       0.001234            0.000198        -0.001218          117.0 

0.3084       0.001241            0.000200        -0.001225          118.0 

0.3074       0.001248            0.000202        -0.001232          119.0 

0.3064       0.001255            0.000204        -0.001239          120.0 

0.3054       0.001263            0.000206        -0.001246          121.0 

0.3044       0.001270            0.000207        -0.001253          122.0 

0.3034       0.001277            0.000209        -0.001259          123.0 

0.3024       0.001284            0.000211        -0.001266          124.0 

0.3014       0.001290            0.000213        -0.001273          125.0 

0.3004       0.001297            0.000214        -0.001279          126.0 

0.2994       0.001304            0.000216        -0.001286          127.0 

0.2984       0.001311            0.000218        -0.001292          128.0 

0.2973       0.001317            0.000220        -0.001299          129.0 

0.2963       0.001324            0.000221        -0.001305          130.0 

0.2953       0.001330            0.000223        -0.001312          131.0 

0.2943       0.001337            0.000225        -0.001318          132.0 

0.2933       0.001343            0.000227        -0.001324          133.0 

0.2923       0.001350            0.000229        -0.001330          134.0 

0.2913       0.001356            0.000230        -0.001336          135.0 

0.2903       0.001362            0.000232        -0.001342          136.0 

0.2893       0.001368            0.000234        -0.001348          137.0 

0.2883       0.001375            0.000236        -0.001354          138.0 

0.2873       0.001381            0.000237        -0.001360          139.0 

0.2863       0.001387            0.000239        -0.001366          140.0 

0.2853       0.001393            0.000241        -0.001372          141.0 

0.2843       0.001399            0.000243        -0.001377          142.0 

0.2833       0.001404            0.000244        -0.001383          143.0 

0.2823       0.001410            0.000246        -0.001389          144.0 

0.2813       0.001416            0.000248        -0.001394          145.0 

0.2803       0.001422            0.000250        -0.001400          146.0 

0.2793       0.001427            0.000252        -0.001405          147.0 

0.2783       0.001433            0.000253        -0.001410          148.0 

0.2773       0.001438            0.000255        -0.001416          149.0 

0.2763       0.001444            0.000257        -0.001421          150.0 

0.2753       0.001449            0.000259        -0.001426          151.0 

0.2743       0.001455            0.000260        -0.001431          152.0 

0.2733       0.001460            0.000262        -0.001436          153.0 

0.2723       0.001465            0.000264        -0.001441          154.0 

0.2713       0.001470            0.000266        -0.001446          155.0 

0.2703       0.001475            0.000267        -0.001451          156.0 

